,Univ,State,SAT,Top10,Accept,SFRatio,Expenses,GradRate,cluster
19,UChicago,IL,1290.0,75,50,12.708333333333334,38380,87.0,1
16,Stanford,CA,1360.0,90,20,12.0,36450,93.0,1
14,Princeton,NJ,1375.0,91,14,8.0,30220,95.0,1
11,Northwestern,IL,1260.0,85,39,11.0,28052,89.0,1
10,MIT,MA,1380.0,94,30,10.0,34870,91.0,1
0,Brown,RI,1310.0,89,22,13.0,22704,94.0,1
8,Harvard,MA,1400.0,91,14,11.0,39525,97.0,1
7,Georgetown,DC,1266.9166666666667,74,24,12.0,20126,92.0,1
6,Duke,NC,1315.0,90,30,12.0,31585,95.0,1
5,Dartmouth,NH,1340.0,89,23,10.0,32162,95.0,1
4,Cornell,NY,1280.0,83,33,13.0,21864,90.0,1
3,Columbia,NY,1310.0,76,24,12.0,31510,90.0,1
1,CalTech,CA,1415.0,100,25,6.0,63575,81.0,1
9,JohnsHopkins,MD,1305.0,75,44,7.0,58691,87.0,1
24,Yale,CT,1375.0,95,19,11.0,43514,96.0,1
